TITLE,ARTIST,ACTDUR,TIMES AIRED
"Move","Passion (feat. Kristian Stanfill)                           ","00:02:56",2
"bluesCountry_vakarinis","                                                            ","00:00:01",1
"futbolas, kitaip, fonas","The High Divers                                             ","00:00:01",1
"futbolas kitaip fonas","The High Divers                                             ","00:05:50",11
"futbolas kitaip fonas tst2","The High Divers                                             ","04:06:41",2
"Nauja diena ILGAS","                                                            ","00:00:14",1
"Draw Me Close","Mikeschair                                                  ","00:03:46",1
"So Good to Me","Newsboys                                                    ","00:03:35",1
"I belong to God PERLAS","                                                            ","00:04:24",2
"REKLAMA CUT","","00:00:06",6
"Vaiku linijos radijo klipas savanoriu kvietimui 2016 08","                                                            ","00:00:30",1
"Lengva Keliauti","                                                            ","00:00:11",1
"KR Limpa Nelimpa","                                                            ","00:00:15",1
"xfm short female","                                                            ","00:00:05",12
"Nauja diena trumpas","                                                            ","00:00:07",8
"My Beloved","","00:04:23",1
"God Is Still God","","00:03:33",1
"","                                                            ","01:06:41",7
"MSA_2016-09-19","                                                            ","00:02:06",2
"Trumpos naujienos","                                                            ","00:01:17",1
"When I'm With You","","00:03:33",1
"BE_2016-09-19","                                                            ","00:00:18",3
"One Step Away","","00:03:37",1
"Do Everything","","00:03:49",1
"Raimis Kukuruzu Labirintas","                                                            ","00:00:18",1
"Laineva.LT","                                                            ","00:00:10",1
"Izraelis","                                                            ","00:01:05",3
"Breathe","","00:03:29",1
"Beyond Me","","00:03:15",1
"tobyMac - Backseat Driver (feat. Tru & Hollyn)","","00:03:21",1
"su jumis - valandinis","                                                            ","00:00:13",6
"Zinios 3 Pozityvios ir Ilgos","                                                            ","03:14:53",3
"Because He Lives (Amen)","JEFF DEYO                                                   ","00:03:17",1
"interviu su Juliumi Sasnausku","                                                            ","00:04:59",1
"Drops In the Ocean","","00:03:22",1
"Sum of Beautiful","CHRIS TOMLIN                                                ","00:04:19",1
"MR 03","                                                            ","00:00:18",1
"Griauname.LT","                                                            ","00:00:09",1
"...neverending...","CASTING CROWNS                                              ","00:02:51",1
"You Never Let Go","Crowder                                                     ","00:04:42",1
"From God Above","Crowder                                                     ","00:03:15",1
"paletes dzinglas","                                                            ","00:00:05",1
"kulturos paletes fonas","                                                            ","00:02:20",1
"Here for a Reason","JEREMY CAMP                                                 ","00:02:56",1
"Yours","Crowder                                                     ","00:03:24",1
"I Am Not Alone (Radio Version)","JEREMY CAMP                                                 ","00:03:54",1
"Reklamos forma","                                                            ","00:00:38",1
"Nickas","                                                            ","00:00:33",2
"","Unitytm                                                     ","00:00:01",1
"3 Minute Song","Lincoln Brewster                                            ","00:02:59",1
"Reklama Rami","                                                            ","00:04:23",2
"King of Glory","Chris Tomlin                                                ","00:03:05",1
"pazink save 1","                                                            ","00:00:16",1
"pazink save 2","                                                            ","00:00:16",1
"Soul on Fire","JONNY DIAZ                                                  ","00:03:12",1
"Day One","Jesus Culture/Kim Walker-Smith                              ","00:03:28",1
"Nauja diena Ilgas vyras","                                                            ","00:00:14",2
"matt","Matt Redman                                                 ","00:04:51",1
"Vakaro Zvaigzdeles Prenumerata","                                                            ","00:00:16",1
"Kauno R Danielius","                                                            ","00:00:21",1
"Better Is One Day","","00:04:48",1
"Adonai","Casting Crowns                                              ","00:04:27",1
"Bravery","Citizen Way                                                 ","00:03:18",1
"Love the Lord","Elevation Worship                                           ","00:03:40",1
"Shoulders (Radio Version)","Kari Jobe                                                   ","00:04:07",1
"Saugos Garantas Short","                                                            ","00:00:20",1
"Tik su tavim","Unitytm                                                     ","00:02:59",1
"VU teises klinika 2","Å½inios                                                      ","00:00:21",1
"Acid_vid_tempas_nuotaika","                                                            ","00:00:02",1
"Jaunimo X fonas","                                                            ","00:00:02",1
"Through All of It","KUTLESS                                                     ","00:00:04",1
"'Tis So Sweet to Trust in Jesus","Sky Dixon                                                   ","00:00:30",1
"Above All Else","","00:00:30",1
"Salvation Is Here","Elevation Worship                                           ","00:00:07",1
"Cinderella","HEATHER WILLIAMS                                            ","00:00:09",1
"At the Cross (Love Ran Red)","Kutless                                                     ","00:00:07",1
"First","Lauren Daigle                                               ","00:00:23",1
"O How You Love Me","","00:05:12",1
"In the Blink of an Eye","","00:03:15",1
"The One I'm Running To","Group 1 Crew                                                ","00:02:54",1
"If We're Honest","NATALIE GRANT                                               ","00:01:02",1
"slow - lazy acoustic","                                                            ","00:13:36",23
"All I Need Is You","sha Williams/Lecrae Moore                                   ","00:03:43",1
"Our God","","00:05:27",1
"Heaven Is Here","JESUS CULTURE                                               ","00:04:01",3
"Healing Rain / Let It Rain","                                                            ","00:03:20",1
